used_for,The subject entity is utilized for the purpose of performing the action or function specified by the object entity.
utilized_with,The subject entity is used in conjunction with the object entity for a specific purpose or function.
comprising,The subject entity consists of or includes the elements or components specified by the object entity.
deposited_onto,The subject entity is placed or transferred onto the surface of the object entity.
turned_into,The subject entity undergoes a transformation process to become or be converted into the object entity.
located_in,The subject entity is situated or found within the area or chamber specified by the object entity.
part_of,The subject entity is a component or element that is a part of the object entity.
is,The subject entity exhibits or possesses the characteristic or property specified by the object entity.
lower_than,The subject entity has a value or quality that is less than the value or quality of the object entity.
attribute_of,The subject entity is a characteristic or property that belongs to or is associated with the object entity.
irradiated_in,The subject entity is exposed to or emitted in the manner or direction specified by the object entity.
passes_through,The subject entity moves or travels through the object entity from one side to the other.
adhered_to,The subject entity is attached or stuck to the object entity.
remove,The subject entity eliminates or takes away the object entity.
example_of,"The subject entity serves as an instance or illustration of the object entity, demonstrating its characteristics or properties."
specify,The subject entity defines or indicates the details or characteristics of the object entity.
performed_on,The subject entity is executed or conducted on the object entity.
formed_over,The subject entity is created or established on top of the object entity.
formed_on,The subject entity is created or established on the surface or area specified by the object entity.
removed_from,The subject entity is eliminated or taken away from the area or condition specified by the object entity.
located_on,The subject entity is positioned or situated on the object entity.
divided_in,The subject entity is separated or split within the area or entity specified by the object entity.
formed_after,The subject entity is created or established following the object entity.
removed_after,The subject entity is eliminated or taken away after the object entity.
correspond_to,The subject entity matches or corresponds to the object entity in terms of characteristics or properties.
formed_by,The subject entity is created or produced by utilizing the object entity as a component or material.
filled_in,The subject entity is inserted or placed within the object entity to occupy or cover the specified area or space.
form,"The subject entity transforms or creates the object entity, resulting in the establishment or development of the specified structure or component."
patterned_by,The subject entity is patterned or designed by utilizing the method or process specified by the object entity.
projected_over,The subject entity is projected or placed over the area or region specified by the object entity.
corresponds_to,The subject entity matches or corresponds to the characteristics or properties of the object entity.
covers,The subject entity extends or includes a significant portion of the object entity.
related_to,The subject entity has a connection or association with the object entity.
exposes,The subject entity reveals or makes visible a specific area or section of the object entity.
located_between,The subject entity is situated or positioned between the two entities specified by the object entity.
have,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
contacts,The subject entity makes physical contact or touches the object entity.
disposed_on,The subject entity is positioned or located on the object entity.
provided_by,The subject entity is made available or supplied by the object entity.
contact_with,The subject entity comes into physical contact with the object entity.
adjusted_on,The subject entity is modified or changed based on the object entity.
configured_to,The subject entity is designed or set up to perform the action or function specified by the object entity.
applied_to,The subject entity is put or placed onto the object entity.
opposite_to,The subject entity is situated or positioned in a manner that is directly across or facing the object entity.
separated_by,"The subject entities are divided or kept apart by the object entity, creating a physical or spatial barrier between them."
integrated_in,"The subject entity is combined or embedded within the object entity, forming a unified structure or system."
disposed_along,The subject entity is intentionally placed or positioned along the specified surface or area of the object entity.
not_disposed_along,The subject entity is intentionally not placed or positioned along the specified surface or area of the object entity.
enlarged,The subject entity is made larger or increased in size compared to the object entity.
formed_in,The subject entity is created or constructed within the space or region specified by the object entity.
reduced_or_eliminated,The subject entity decreases or removes the occurrence or presence of the object entity.
improved_by,The subject entity enhances or raises the quality or performance of the object entity.
arranged_along,The subject entity is positioned or aligned in a linear manner with respect to the object entity.
adjacent_to,The subject entity is positioned next to or in close proximity to the object entity.
about,The subject entity is positioned or located around or near the object entity.
coupled_to,The subject entity is connected or linked to the object entity in a way that they work together or influence each other.
exposed_after,The subject entity is subjected to exposure following the action or application of the object entity.
developed_after,The subject entity undergoes a development process subsequent to the action or application of the object entity.
transferred_to,The subject entity is moved or replicated onto the surface or layer specified by the object entity.
performed_after,The subject entity is carried out or executed subsequent to the completion or occurrence of the object entity.
penetrate,The subject entity passes through or enters the object entity.
etched_to_form,The subject entity undergoes a process to create or shape the object entity.
filled_with,The subject entity contains or is occupied by the object entity.
formed_with,The subject entity is created or constructed together with the object entity.
